Object ID,Object Name,Title,Culture,Medium,Link Resource,Link Image
36046,figure,大理國（十二世紀） 青銅鎏金觀音菩薩像|Bodhisattva Avalokiteshvara (Guanyin),China,Gilt arsenical bronze; lost-wax cast,http://www.metmuseum.org/art/collection/search/36046,https://collectionapi.metmuseum.org/api/collection/v1/iiif/36046/main-image
37414,figurine,,Indonesia (Java),Silver,http://www.metmuseum.org/art/collection/search/37414,https://collectionapi.metmuseum.org/api/collection/v1/iiif/37414/main-image
37611,figure,,Tibet,Gilt bronze inlaid with turquoise and carnelian,http://www.metmuseum.org/art/collection/search/37611,https://collectionapi.metmuseum.org/api/collection/v1/iiif/37611/main-image
37654,figurine,,Thailand,"Gold, lacquer and silver",http://www.metmuseum.org/art/collection/search/37654,https://collectionapi.metmuseum.org/api/collection/v1/iiif/37654/main-image
38073,headless figure,,India (Uttar Pradesh),Sandstone,http://www.metmuseum.org/art/collection/search/38073,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38073/main-image
38119,figure,,Pakistan (ancient region of Gandhara),Schist,http://www.metmuseum.org/art/collection/search/38119,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38119/main-image
38123,figure,,"India (Bihar, probably Nalanda)",Black stone,http://www.metmuseum.org/art/collection/search/38123,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38123/main-image
38157,figure,,Vietnam,Sandstone,http://www.metmuseum.org/art/collection/search/38157,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38157/main-image
38160,figure,,Southern Cambodia,Sandstone,http://www.metmuseum.org/art/collection/search/38160,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38160/main-image
38165,figure,,Thailand,Stone with traces of color,http://www.metmuseum.org/art/collection/search/38165,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38165/main-image
38177,figure,,Southern Thailand,Sandstone,http://www.metmuseum.org/art/collection/search/38177,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38177/main-image
38198,figure,,"India (Uttar Pradesh, Mathura)",Red sandstone,http://www.metmuseum.org/art/collection/search/38198,https://collectionapi.metmuseum.org/api/collection/v1/iiif/38198/main-image
